nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée Gaston Couté;Espace culturel La Monnaye 22 Rue des Remparts;45130;MEUNG-SUR-LOIRE;0238225336;CENTRE-VAL DE LOIRE;LOIRET;47.8998652647,1.6507129188
Ecomusée de la Région;Place Maria Blondeau;59610;FOURMIES;0327606611;HAUTS-DE-France;NORD;50.017669,4.042771
Musée Intercommunal d'Etampes;Place de l'Hôtel de Ville et des Droits de l'Homme;91150;ETAMPES;0169926912;ÎLE-DE-France;ESSONNE;48.434307,2.161909
MAC VAL, Musée d'Art Contemporain du Val-de-Marne;Place de la Libération CS10022;94400;VITRY SUR SEINE;0143916420;ÎLE-DE-France;VAL DE MARNE;48.7885568869,2.39425728394
ARCHEA - Archéologie en Pays de France;56, Rue de Paris;95380;LOUVRES;0134090105;ÎLE-DE-France;VAL D'OISE;49.041117,2.50695
Musée d'Art et Traditions Populaires;Hôtel de ville Place de la liberté;24610;VILLEFRANCHE-DE-LONCHAT;0553807725;NOUVELLE-AQUITAINE;DORDOGNE;44.9374172162,0.100217545195
Centre National Jean Moulin;Direction des établissements culturels 48, rue Vital Carles;33000;BORDEAUX;0556101990;NOUVELLE-AQUITAINE;GIRONDE;44.8579384389,-0.573595011059
Abbaye de Graville - Musée du Prieuré de Graville;Rue de l'Abbaye;76600;LE HAVRE;0235190985;NORMANDIE;SEINE-MARITIME;49.503118,0.168438
Musée du Vieux Marseille;2, Rue de la Prison;13002;MARSEILLE;0491552868;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.296896,5.369449
Musée du Petit Palais;Place du Palais des Papes;84000;AVIGNON;0490864458;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.951024,4.806311
Musée Charles de Bruyères;70, Rue Charles de Gaulle;88200;REMIREMONT;0329625914;GRAND EST;VOSGES;48.016142,6.593289
Musée Louis Français;30, Avenue Louis Français;88370;PLOMBIERES-LES-BAINS;0329660024;GRAND EST;VOSGES;47.964095,6.458494
Musée du Prieuré de Charolles;Rue du Prieuré;71120;CHAROLLES;0385242474;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.432489,4.279275
Musée Lapidaire;Place Maurice Mollard;73100;AIX-LES-BAINS;0479886800;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.68876,5.915582
Musée du Château de Lunéville;Place de la Deuxième Division de Cavalerie;54300;LUNEVILLE;0383760475;GRAND EST;MEURTHE ET MOSELLE;48.594765,6.491166
Musée Municipal;Place du 11 novembre 1918;46110;VAYRAC;0565324026;OCCITANIE;LOT;44.95267,1.703198
Musée Magnelli, Musée de la Céramique;Place de la Libération;06220;VALLAURIS;0493647183;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.579881,7.053064
Musée Paléontologique;Le Bourg;63560;MENAT;0473855029;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;46.103797,2.904043
Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;0389781111;GRAND EST;HAUT-RHIN;48.139072,7.261441
Musée  Départemental Dobrée;18, Rue Voltaire B.P. 40 415;44004;NANTES Cedex 1;0240710350;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;
Musée Archéologique Municipal;Salle du Vieux Fréjus Place Calvini;83600;FREJUS;0494521578;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.4958707206,6.756116629
Musée du palais de l'Archevêché (ex musée des Tapisseries);Ancien Musée des Tapisseries 28, Place des Martyrs de la Résistance;13100;AIX-EN-PROVENCE;0442230991;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.5353485115,5.4345381961
Cabinet des Monnaies et Médailles de Marseille;10, Rue Clovis Hugues Archives Municipales Palais des Beaux-Arts;13001;MARSEILLE;0491553375;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.299995472,5.38294677678
Musée Municipal;1, Place du Bourguet;04300;FORCALQUIER;0492709119;PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;43.959969,5.780363
Musée Municipal;Hôtel de Ville;84390;SAULT;0490640230;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.029407,5.494037
Musées de Châteauroux - Hôtel Bertrand;2, Rue Descente-des-Cordeliers;36000;CHATEAUROUX;0254611230;CENTRE-VAL DE LOIRE;INDRE;46.813737,1.694262
Musée d'Art Contemporain de Lyon;Cité Internationale 81, Quai Charles de Gaulle;69463;LYON Cedex 06;0472691717;AUVERGNE-RHÔNE-ALPES;RHÔNE;
Hôtel Cabu, Musée d'Histoire et d'Archéologie;Square Abbé Desnoyers Hôtel Cabu;45000;ORLEANS;0238792560;CENTRE-VAL DE LOIRE;LOIRET;47.8826248233,1.91635582903
Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;0389337811;GRAND EST;HAUT-RHIN;47.745774,7.338271
Ecomusée de la Grande Lande;Route de Soférino;40630;SABRES;0558083131;NOUVELLE-AQUITAINE;LANDES;44.149086,-0.751331
Musée de Lodève - Hôtel du cardinal Fleury;Hôtel du Cardinal de Fleury Square Georges Auric;34700;LODEVE;0467888610;OCCITANIE;HERAULT;43.7450519373,3.34675760594
